,county,candidate,party,votes,race name,state
0,Statewide,Ruben Major,DEM,"200,721",Secretary of State,CA
1,Statewide,Alex Padilla,DEM,"1,974,465",Secretary of State,CA
2,Statewide,Mark P. Meuser,REP,"1,229,744",Secretary of State,CA
3,Statewide,Raul Rodriguez Jr,REP,"204,030",Secretary of State,CA
4,Statewide,Michael Feinstein,GRN,"76,922",Secretary of State,CA
5,Statewide,Erik Rydberg,GRN,"27,035",Secretary of State,CA
6,Statewide,Gail K. Lightfoot,LIB,"91,596",Secretary of State,CA
7,Statewide,C. T. Weber,P&F,"34,563",Secretary of State,CA
8,Alameda,Ruben Major,DEM,"11,264",Secretary of State,CA
9,Alameda,Alex Padilla,DEM,"106,151",Secretary of State,CA
10,Alameda,Mark P. Meuser,REP,"24,424",Secretary of State,CA
11,Alameda,Raul Rodriguez Jr,REP,"4,823",Secretary of State,CA
12,Alameda,Michael Feinstein,GRN,"4,047",Secretary of State,CA
13,Alameda,Erik Rydberg,GRN,"2,584",Secretary of State,CA
14,Alameda,Gail K. Lightfoot,LIB,"3,441",Secretary of State,CA
15,Alameda,C. T. Weber,P&F,"1,796",Secretary of State,CA
16,Alpine,Ruben Major,DEM,22,Secretary of State,CA
17,Alpine,Alex Padilla,DEM,196,Secretary of State,CA
18,Alpine,Mark P. Meuser,REP,93,Secretary of State,CA
19,Alpine,Raul Rodriguez Jr,REP,21,Secretary of State,CA
20,Alpine,Michael Feinstein,GRN,7,Secretary of State,CA
21,Alpine,Erik Rydberg,GRN,3,Secretary of State,CA
22,Alpine,Gail K. Lightfoot,LIB,9,Secretary of State,CA
23,Alpine,C. T. Weber,P&F,0,Secretary of State,CA
24,Amador,Ruben Major,DEM,192,Secretary of State,CA
25,Amador,Alex Padilla,DEM,"1,319",Secretary of State,CA
26,Amador,Mark P. Meuser,REP,"1,718",Secretary of State,CA
27,Amador,Raul Rodriguez Jr,REP,694,Secretary of State,CA
28,Amador,Michael Feinstein,GRN,81,Secretary of State,CA
29,Amador,Erik Rydberg,GRN,14,Secretary of State,CA
30,Amador,Gail K. Lightfoot,LIB,133,Secretary of State,CA
31,Amador,C. T. Weber,P&F,41,Secretary of State,CA
32,Butte,Ruben Major,DEM,"1,787",Secretary of State,CA
33,Butte,Alex Padilla,DEM,"14,763",Secretary of State,CA
34,Butte,Mark P. Meuser,REP,"14,256",Secretary of State,CA
35,Butte,Raul Rodriguez Jr,REP,"2,649",Secretary of State,CA
36,Butte,Michael Feinstein,GRN,533,Secretary of State,CA
37,Butte,Erik Rydberg,GRN,333,Secretary of State,CA
38,Butte,Gail K. Lightfoot,LIB,"1,313",Secretary of State,CA
39,Butte,C. T. Weber,P&F,494,Secretary of State,CA
40,Calaveras,Ruben Major,DEM,377,Secretary of State,CA
41,Calaveras,Alex Padilla,DEM,"2,925",Secretary of State,CA
42,Calaveras,Mark P. Meuser,REP,"3,856",Secretary of State,CA
43,Calaveras,Raul Rodriguez Jr,REP,"1,104",Secretary of State,CA
44,Calaveras,Michael Feinstein,GRN,180,Secretary of State,CA
45,Calaveras,Erik Rydberg,GRN,52,Secretary of State,CA
46,Calaveras,Gail K. Lightfoot,LIB,335,Secretary of State,CA
47,Calaveras,C. T. Weber,P&F,87,Secretary of State,CA
48,Colusa,Ruben Major,DEM,121,Secretary of State,CA
49,Colusa,Alex Padilla,DEM,696,Secretary of State,CA
50,Colusa,Mark P. Meuser,REP,"1,158",Secretary of State,CA
51,Colusa,Raul Rodriguez Jr,REP,267,Secretary of State,CA
52,Colusa,Michael Feinstein,GRN,18,Secretary of State,CA
53,Colusa,Erik Rydberg,GRN,8,Secretary of State,CA
54,Colusa,Gail K. Lightfoot,LIB,73,Secretary of State,CA
55,Colusa,C. T. Weber,P&F,48,Secretary of State,CA
56,Contra Costa,Ruben Major,DEM,"4,880",Secretary of State,CA
57,Contra Costa,Alex Padilla,DEM,"67,323",Secretary of State,CA
58,Contra Costa,Mark P. Meuser,REP,"29,740",Secretary of State,CA
59,Contra Costa,Raul Rodriguez Jr,REP,"3,772",Secretary of State,CA
60,Contra Costa,Michael Feinstein,GRN,"3,002",Secretary of State,CA
61,Contra Costa,Erik Rydberg,GRN,867,Secretary of State,CA
62,Contra Costa,Gail K. Lightfoot,LIB,"3,430",Secretary of State,CA
63,Contra Costa,C. T. Weber,P&F,"1,107",Secretary of State,CA
64,Del Norte,Ruben Major,DEM,189,Secretary of State,CA
65,Del Norte,Alex Padilla,DEM,"1,580",Secretary of State,CA
66,Del Norte,Mark P. Meuser,REP,"1,982",Secretary of State,CA
67,Del Norte,Raul Rodriguez Jr,REP,356,Secretary of State,CA
68,Del Norte,Michael Feinstein,GRN,64,Secretary of State,CA
69,Del Norte,Erik Rydberg,GRN,49,Secretary of State,CA
70,Del Norte,Gail K. Lightfoot,LIB,157,Secretary of State,CA
71,Del Norte,C. T. Weber,P&F,70,Secretary of State,CA
72,El Dorado,Ruben Major,DEM,"1,298",Secretary of State,CA
73,El Dorado,Alex Padilla,DEM,"12,629",Secretary of State,CA
74,El Dorado,Mark P. Meuser,REP,"15,565",Secretary of State,CA
75,El Dorado,Raul Rodriguez Jr,REP,"2,161",Secretary of State,CA
76,El Dorado,Michael Feinstein,GRN,433,Secretary of State,CA
77,El Dorado,Erik Rydberg,GRN,164,Secretary of State,CA
78,El Dorado,Gail K. Lightfoot,LIB,862,Secretary of State,CA
79,El Dorado,C. T. Weber,P&F,269,Secretary of State,CA
