county,district name,candidate,party,votes,race name,state
Districtwide,District 1,Tom Hallinan,DEM,"334,682",Board of Equalization,CA
Districtwide,District 1,Connie Conway,REP,"161,160",Board of Equalization,CA
Districtwide,District 1,David Evans,REP,"90,610",Board of Equalization,CA
Districtwide,District 1,Ted Gaines,REP,"285,925",Board of Equalization,CA
Alpine,District 1,Tom Hallinan,DEM,189,Board of Equalization,CA
Alpine,District 1,Connie Conway,REP,21,Board of Equalization,CA
Alpine,District 1,David Evans,REP,29,Board of Equalization,CA
Alpine,District 1,Ted Gaines,REP,107,Board of Equalization,CA
Amador,District 1,Tom Hallinan,DEM,"1,295",Board of Equalization,CA
Amador,District 1,Connie Conway,REP,596,Board of Equalization,CA
Amador,District 1,David Evans,REP,540,Board of Equalization,CA
Amador,District 1,Ted Gaines,REP,"1,751",Board of Equalization,CA
Butte,District 1,Tom Hallinan,DEM,"13,670",Board of Equalization,CA
Butte,District 1,Connie Conway,REP,"6,183",Board of Equalization,CA
Butte,District 1,David Evans,REP,"3,760",Board of Equalization,CA
Butte,District 1,Ted Gaines,REP,"11,438",Board of Equalization,CA
Calaveras,District 1,Tom Hallinan,DEM,"2,971",Board of Equalization,CA
Calaveras,District 1,Connie Conway,REP,"1,367",Board of Equalization,CA
Calaveras,District 1,David Evans,REP,"1,272",Board of Equalization,CA
Calaveras,District 1,Ted Gaines,REP,"3,245",Board of Equalization,CA
El Dorado,District 1,Tom Hallinan,DEM,"11,387",Board of Equalization,CA
El Dorado,District 1,Connie Conway,REP,"3,660",Board of Equalization,CA
El Dorado,District 1,David Evans,REP,"2,610",Board of Equalization,CA
El Dorado,District 1,Ted Gaines,REP,"15,488",Board of Equalization,CA
Fresno,District 1,Tom Hallinan,DEM,"28,251",Board of Equalization,CA
Fresno,District 1,Connie Conway,REP,"21,430",Board of Equalization,CA
Fresno,District 1,David Evans,REP,"8,829",Board of Equalization,CA
Fresno,District 1,Ted Gaines,REP,"18,600",Board of Equalization,CA
Inyo,District 1,Tom Hallinan,DEM,"1,268",Board of Equalization,CA
Inyo,District 1,Connie Conway,REP,976,Board of Equalization,CA
Inyo,District 1,David Evans,REP,337,Board of Equalization,CA
Inyo,District 1,Ted Gaines,REP,842,Board of Equalization,CA
Kern,District 1,Tom Hallinan,DEM,"21,715",Board of Equalization,CA
Kern,District 1,Connie Conway,REP,"15,056",Board of Equalization,CA
Kern,District 1,David Evans,REP,"9,329",Board of Equalization,CA
Kern,District 1,Ted Gaines,REP,"30,401",Board of Equalization,CA
Kings,District 1,Tom Hallinan,DEM,"3,624",Board of Equalization,CA
Kings,District 1,Connie Conway,REP,"4,492",Board of Equalization,CA
Kings,District 1,David Evans,REP,"2,054",Board of Equalization,CA
Kings,District 1,Ted Gaines,REP,"2,708",Board of Equalization,CA
Lassen,District 1,Tom Hallinan,DEM,578,Board of Equalization,CA
Lassen,District 1,Connie Conway,REP,373,Board of Equalization,CA
Lassen,District 1,David Evans,REP,287,Board of Equalization,CA
Lassen,District 1,Ted Gaines,REP,"1,809",Board of Equalization,CA
Los Angeles,District 1,Tom Hallinan,DEM,"52,594",Board of Equalization,CA
Los Angeles,District 1,Connie Conway,REP,"16,787",Board of Equalization,CA
Los Angeles,District 1,David Evans,REP,"12,968",Board of Equalization,CA
Los Angeles,District 1,Ted Gaines,REP,"27,927",Board of Equalization,CA
Madera,District 1,Tom Hallinan,DEM,"5,377",Board of Equalization,CA
Madera,District 1,Connie Conway,REP,"3,839",Board of Equalization,CA
Madera,District 1,David Evans,REP,"3,189",Board of Equalization,CA
Madera,District 1,Ted Gaines,REP,"4,895",Board of Equalization,CA
Mariposa,District 1,Tom Hallinan,DEM,"1,482",Board of Equalization,CA
Mariposa,District 1,Connie Conway,REP,837,Board of Equalization,CA
Mariposa,District 1,David Evans,REP,758,Board of Equalization,CA
Mariposa,District 1,Ted Gaines,REP,"1,497",Board of Equalization,CA
Merced,District 1,Tom Hallinan,DEM,"6,900",Board of Equalization,CA
Merced,District 1,Connie Conway,REP,"3,033",Board of Equalization,CA
Merced,District 1,David Evans,REP,"2,837",Board of Equalization,CA
Merced,District 1,Ted Gaines,REP,"4,134",Board of Equalization,CA
Modoc,District 1,Tom Hallinan,DEM,360,Board of Equalization,CA
Modoc,District 1,Connie Conway,REP,320,Board of Equalization,CA
Modoc,District 1,David Evans,REP,254,Board of Equalization,CA
Modoc,District 1,Ted Gaines,REP,"1,083",Board of Equalization,CA
Mono,District 1,Tom Hallinan,DEM,"1,282",Board of Equalization,CA
Mono,District 1,Connie Conway,REP,368,Board of Equalization,CA
Mono,District 1,David Evans,REP,262,Board of Equalization,CA
Mono,District 1,Ted Gaines,REP,716,Board of Equalization,CA
Nevada,District 1,Tom Hallinan,DEM,"6,502",Board of Equalization,CA
Nevada,District 1,Connie Conway,REP,"1,359",Board of Equalization,CA
Nevada,District 1,David Evans,REP,899,Board of Equalization,CA
Nevada,District 1,Ted Gaines,REP,"6,357",Board of Equalization,CA
Placer,District 1,Tom Hallinan,DEM,"19,407",Board of Equalization,CA
Placer,District 1,Connie Conway,REP,"6,665",Board of Equalization,CA
Placer,District 1,David Evans,REP,"3,466",Board of Equalization,CA
Placer,District 1,Ted Gaines,REP,"27,794",Board of Equalization,CA
Plumas,District 1,Tom Hallinan,DEM,"1,740",Board of Equalization,CA
Plumas,District 1,Connie Conway,REP,528,Board of Equalization,CA
Plumas,District 1,David Evans,REP,361,Board of Equalization,CA
Plumas,District 1,Ted Gaines,REP,"2,499",Board of Equalization,CA
Sacramento,District 1,Tom Hallinan,DEM,"55,293",Board of Equalization,CA
Sacramento,District 1,Connie Conway,REP,"14,554",Board of Equalization,CA
Sacramento,District 1,David Evans,REP,"9,256",Board of Equalization,CA
Sacramento,District 1,Ted Gaines,REP,"35,789",Board of Equalization,CA
San Bernardino,District 1,Tom Hallinan,DEM,"32,134",Board of Equalization,CA
San Bernardino,District 1,Connie Conway,REP,"18,293",Board of Equalization,CA
San Bernardino,District 1,David Evans,REP,"9,066",Board of Equalization,CA
San Bernardino,District 1,Ted Gaines,REP,"29,268",Board of Equalization,CA
San Joaquin,District 1,Tom Hallinan,DEM,"22,914",Board of Equalization,CA
San Joaquin,District 1,Connie Conway,REP,"10,190",Board of Equalization,CA
San Joaquin,District 1,David Evans,REP,"6,078",Board of Equalization,CA
San Joaquin,District 1,Ted Gaines,REP,"15,278",Board of Equalization,CA
Shasta,District 1,Tom Hallinan,DEM,"5,088",Board of Equalization,CA
Shasta,District 1,Connie Conway,REP,"2,892",Board of Equalization,CA
Shasta,District 1,David Evans,REP,"1,702",Board of Equalization,CA
Shasta,District 1,Ted Gaines,REP,"10,693",Board of Equalization,CA
Sierra,District 1,Tom Hallinan,DEM,347,Board of Equalization,CA
Sierra,District 1,Connie Conway,REP,141,Board of Equalization,CA
Sierra,District 1,David Evans,REP,89,Board of Equalization,CA
Sierra,District 1,Ted Gaines,REP,646,Board of Equalization,CA
Siskiyou,District 1,Tom Hallinan,DEM,"2,490",Board of Equalization,CA
Siskiyou,District 1,Connie Conway,REP,919,Board of Equalization,CA
Siskiyou,District 1,David Evans,REP,608,Board of Equalization,CA
Siskiyou,District 1,Ted Gaines,REP,"3,025",Board of Equalization,CA
Stanislaus,District 1,Tom Hallinan,DEM,"18,759",Board of Equalization,CA
Stanislaus,District 1,Connie Conway,REP,"7,606",Board of Equalization,CA
Stanislaus,District 1,David Evans,REP,"4,288",Board of Equalization,CA
Stanislaus,District 1,Ted Gaines,REP,"13,639",Board of Equalization,CA
Sutter,District 1,Tom Hallinan,DEM,"2,901",Board of Equalization,CA
Sutter,District 1,Connie Conway,REP,"1,940",Board of Equalization,CA
Sutter,District 1,David Evans,REP,"1,314",Board of Equalization,CA
Sutter,District 1,Ted Gaines,REP,"3,726",Board of Equalization,CA
