county,district name,candidate,party,votes,race name,state
Districtwide,District 1,Audrey Denney,DEM,"18,840",U.S. House of Representatives,CA
Districtwide,District 1,Jessica Jones Holcombe,DEM,"12,604",U.S. House of Representatives,CA
Districtwide,District 1,David Peterson,DEM,"3,337",U.S. House of Representatives,CA
Districtwide,District 1,Marty Walters,DEM,"9,296",U.S. House of Representatives,CA
Districtwide,District 1,Gregory Edward Cheadle,REP,"6,761",U.S. House of Representatives,CA
Districtwide,District 1,Doug La Malfa,REP,"55,783",U.S. House of Representatives,CA
Districtwide,District 1,Lewis Elbinger,GRN,"1,201",U.S. House of Representatives,CA
Butte,District 1,Audrey Denney,DEM,"9,679",U.S. House of Representatives,CA
Butte,District 1,Jessica Jones Holcombe,DEM,"4,904",U.S. House of Representatives,CA
Butte,District 1,David Peterson,DEM,795,U.S. House of Representatives,CA
Butte,District 1,Marty Walters,DEM,"2,730",U.S. House of Representatives,CA
Butte,District 1,Gregory Edward Cheadle,REP,"1,637",U.S. House of Representatives,CA
Butte,District 1,Doug La Malfa,REP,"17,004",U.S. House of Representatives,CA
Butte,District 1,Lewis Elbinger,GRN,377,U.S. House of Representatives,CA
Glenn,District 1,Audrey Denney,DEM,58,U.S. House of Representatives,CA
Glenn,District 1,Jessica Jones Holcombe,DEM,14,U.S. House of Representatives,CA
Glenn,District 1,David Peterson,DEM,2,U.S. House of Representatives,CA
Glenn,District 1,Marty Walters,DEM,6,U.S. House of Representatives,CA
Glenn,District 1,Gregory Edward Cheadle,REP,10,U.S. House of Representatives,CA
Glenn,District 1,Doug La Malfa,REP,287,U.S. House of Representatives,CA
Glenn,District 1,Lewis Elbinger,GRN,0,U.S. House of Representatives,CA
Lassen,District 1,Audrey Denney,DEM,236,U.S. House of Representatives,CA
Lassen,District 1,Jessica Jones Holcombe,DEM,275,U.S. House of Representatives,CA
Lassen,District 1,David Peterson,DEM,97,U.S. House of Representatives,CA
Lassen,District 1,Marty Walters,DEM,160,U.S. House of Representatives,CA
Lassen,District 1,Gregory Edward Cheadle,REP,173,U.S. House of Representatives,CA
Lassen,District 1,Doug La Malfa,REP,"2,128",U.S. House of Representatives,CA
Lassen,District 1,Lewis Elbinger,GRN,16,U.S. House of Representatives,CA
Modoc,District 1,Audrey Denney,DEM,343,U.S. House of Representatives,CA
Modoc,District 1,Jessica Jones Holcombe,DEM,113,U.S. House of Representatives,CA
Modoc,District 1,David Peterson,DEM,60,U.S. House of Representatives,CA
Modoc,District 1,Marty Walters,DEM,125,U.S. House of Representatives,CA
Modoc,District 1,Gregory Edward Cheadle,REP,154,U.S. House of Representatives,CA
Modoc,District 1,Doug La Malfa,REP,"1,336",U.S. House of Representatives,CA
Modoc,District 1,Lewis Elbinger,GRN,10,U.S. House of Representatives,CA
Nevada,District 1,Audrey Denney,DEM,"2,378",U.S. House of Representatives,CA
Nevada,District 1,Jessica Jones Holcombe,DEM,"2,040",U.S. House of Representatives,CA
Nevada,District 1,David Peterson,DEM,523,U.S. House of Representatives,CA
Nevada,District 1,Marty Walters,DEM,"1,757",U.S. House of Representatives,CA
Nevada,District 1,Gregory Edward Cheadle,REP,535,U.S. House of Representatives,CA
Nevada,District 1,Doug La Malfa,REP,"6,323",U.S. House of Representatives,CA
Nevada,District 1,Lewis Elbinger,GRN,155,U.S. House of Representatives,CA
Placer,District 1,Audrey Denney,DEM,646,U.S. House of Representatives,CA
Placer,District 1,Jessica Jones Holcombe,DEM,"1,297",U.S. House of Representatives,CA
Placer,District 1,David Peterson,DEM,228,U.S. House of Representatives,CA
Placer,District 1,Marty Walters,DEM,613,U.S. House of Representatives,CA
Placer,District 1,Gregory Edward Cheadle,REP,357,U.S. House of Representatives,CA
Placer,District 1,Doug La Malfa,REP,"3,741",U.S. House of Representatives,CA
Placer,District 1,Lewis Elbinger,GRN,76,U.S. House of Representatives,CA
Plumas,District 1,Audrey Denney,DEM,482,U.S. House of Representatives,CA
Plumas,District 1,Jessica Jones Holcombe,DEM,386,U.S. House of Representatives,CA
Plumas,District 1,David Peterson,DEM,148,U.S. House of Representatives,CA
Plumas,District 1,Marty Walters,DEM,"1,210",U.S. House of Representatives,CA
Plumas,District 1,Gregory Edward Cheadle,REP,218,U.S. House of Representatives,CA
Plumas,District 1,Doug La Malfa,REP,"2,768",U.S. House of Representatives,CA
Plumas,District 1,Lewis Elbinger,GRN,51,U.S. House of Representatives,CA
Shasta,District 1,Audrey Denney,DEM,"2,591",U.S. House of Representatives,CA
Shasta,District 1,Jessica Jones Holcombe,DEM,"1,790",U.S. House of Representatives,CA
Shasta,District 1,David Peterson,DEM,937,U.S. House of Representatives,CA
Shasta,District 1,Marty Walters,DEM,"1,292",U.S. House of Representatives,CA
Shasta,District 1,Gregory Edward Cheadle,REP,"2,453",U.S. House of Representatives,CA
Shasta,District 1,Doug La Malfa,REP,"11,732",U.S. House of Representatives,CA
Shasta,District 1,Lewis Elbinger,GRN,184,U.S. House of Representatives,CA
Sierra,District 1,Audrey Denney,DEM,180,U.S. House of Representatives,CA
Sierra,District 1,Jessica Jones Holcombe,DEM,116,U.S. House of Representatives,CA
Sierra,District 1,David Peterson,DEM,56,U.S. House of Representatives,CA
Sierra,District 1,Marty Walters,DEM,129,U.S. House of Representatives,CA
Sierra,District 1,Gregory Edward Cheadle,REP,56,U.S. House of Representatives,CA
Sierra,District 1,Doug La Malfa,REP,725,U.S. House of Representatives,CA
Sierra,District 1,Lewis Elbinger,GRN,16,U.S. House of Representatives,CA
Siskiyou,District 1,Audrey Denney,DEM,"1,131",U.S. House of Representatives,CA
Siskiyou,District 1,Jessica Jones Holcombe,DEM,813,U.S. House of Representatives,CA
Siskiyou,District 1,David Peterson,DEM,301,U.S. House of Representatives,CA
Siskiyou,District 1,Marty Walters,DEM,642,U.S. House of Representatives,CA
Siskiyou,District 1,Gregory Edward Cheadle,REP,452,U.S. House of Representatives,CA
Siskiyou,District 1,Doug La Malfa,REP,"3,690",U.S. House of Representatives,CA
Siskiyou,District 1,Lewis Elbinger,GRN,249,U.S. House of Representatives,CA
