"","JurisdictionID","JurisContainerID","JurisName","EISCandidateID","CandidateName","EISContestID","ContestName","PrecinctName","Registration","EISPartyID","PartyName","VoteCount"
"1",5,0,"BROWN",0,"",0,"","BUCKHORN TWP",58,0,"",12
"2",5,0,"BROWN",0,"",0,"","COOPERSTOWN TWP",241,0,"",57
"3",5,0,"BROWN",0,"",0,"","ELKHORN TWP",254,0,"",54
"4",5,0,"BROWN",0,"",0,"","LEE TWP",197,0,"",31
"5",5,0,"BROWN",0,"",0,"","MISSOURI TWP",118,0,"",26
"6",5,0,"BROWN",0,"",0,"","MT. STERLING 1",675,0,"",133
"7",5,0,"BROWN",0,"",0,"","MT. STERLING 2",380,0,"",66
"8",5,0,"BROWN",0,"",0,"","MT. STERLING 3",166,0,"",33
"9",5,0,"BROWN",0,"",0,"","MT. STERLING 4",335,0,"",70
"10",5,0,"BROWN",0,"",0,"","MT. STERLING 5",304,0,"",47
"11",5,0,"BROWN",0,"",0,"","PEA RIDGE TWP",152,0,"",33
"12",5,0,"BROWN",0,"",0,"","RIPLEY TWP",61,0,"",18
"13",5,0,"BROWN",0,"",0,"","VERSAILLES TWP 1",249,0,"",40
"14",5,0,"BROWN",0,"",0,"","VERSAILLES TWP 2",147,0,"",42
"15",5,0,"BROWN",100,"BRUCE RAUNER",180,"GOVERNOR AND LIEUTENANT GOVERNOR","BUCKHORN TWP",58,12,"REPUBLICAN",5
"16",5,0,"BROWN",100,"BRUCE RAUNER",180,"GOVERNOR AND LIEUTENANT GOVERNOR","COOPERSTOWN TWP",241,12,"REPUBLICAN",17
"17",5,0,"BROWN",100,"BRUCE RAUNER",180,"GOVERNOR AND LIEUTENANT GOVERNOR","ELKHORN TWP",254,12,"REPUBLICAN",17
"18",5,0,"BROWN",100,"BRUCE RAUNER",180,"GOVERNOR AND LIEUTENANT GOVERNOR","LEE TWP",197,12,"REPUBLICAN",9
"19",5,0,"BROWN",100,"BRUCE RAUNER",180,"GOVERNOR AND LIEUTENANT GOVERNOR","MISSOURI TWP",118,12,"REPUBLICAN",6
"20",5,0,"BROWN",100,"BRUCE RAUNER",180,"GOVERNOR AND LIEUTENANT GOVERNOR","MT. STERLING 1",675,12,"REPUBLICAN",42
"21",5,0,"BROWN",100,"BRUCE RAUNER",180,"GOVERNOR AND LIEUTENANT GOVERNOR","MT. STERLING 2",380,12,"REPUBLICAN",15
"22",5,0,"BROWN",100,"BRUCE RAUNER",180,"GOVERNOR AND LIEUTENANT GOVERNOR","MT. STERLING 3",166,12,"REPUBLICAN",11
"23",5,0,"BROWN",100,"BRUCE RAUNER",180,"GOVERNOR AND LIEUTENANT GOVERNOR","MT. STERLING 4",335,12,"REPUBLICAN",27
"24",5,0,"BROWN",100,"BRUCE RAUNER",180,"GOVERNOR AND LIEUTENANT GOVERNOR","MT. STERLING 5",304,12,"REPUBLICAN",12
