county,race,candidate,votes
Carson City,UNITED STATES SENATOR (DEMOCRATIC),"ROSEN, JACKY",2658
Carson City,UNITED STATES SENATOR (DEMOCRATIC),NONE OF THESE CANDIDATES,192
Carson City,UNITED STATES SENATOR (DEMOCRATIC),"KNIGHT, DAVID DREW",136
Carson City,UNITED STATES SENATOR (DEMOCRATIC),"RHEINHART, ALLEN",91
Carson City,UNITED STATES SENATOR (DEMOCRATIC),"SBAIH, JESSE",90
Carson City,UNITED STATES SENATOR (DEMOCRATIC),"MAHENDRA, SUJEET ""BOBBY""",83
Carson City,UNITED STATES SENATOR (DEMOCRATIC),"BURLEIGH, DANNY",42
Carson City,UNITED STATES SENATOR (REPUBLICAN),"HELLER, DEAN (INCUMBENT)",3428
Carson City,UNITED STATES SENATOR (REPUBLICAN),"HECK, TOM",1067
Carson City,UNITED STATES SENATOR (REPUBLICAN),NONE OF THESE CANDIDATES,153
Carson City,UNITED STATES SENATOR (REPUBLICAN),"BROOKS, SHERRY",115
Carson City,UNITED STATES SENATOR (REPUBLICAN),"GAZALA, SARAH",109
Carson City,UNITED STATES SENATOR (REPUBLICAN),"HARRELL, VIC",30
Carson City,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","KOBLE, CLINT",922
Carson City,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","FOGARTY, PATRICK",661
Carson City,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","SHEPHERD, RICK",568
Carson City,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","ALM, VANCE",405
Carson City,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","SCHOFIELD JR., JACK L.",312
Carson City,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","HURLEY, JESSE DOUGLAS",221
Carson City,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","AMODEI, MARK E. (INCUMBENT)",3759
Carson City,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","ANGLE, SHARRON",695
Carson City,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","BECK, JOEL",370
Carson City,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","LUETKEHANS, IAN",55
Carson City,GOVERNOR (DEMOCRATIC),"GIUNCHIGLIANI, CHRISTINA ""CHRIS G""",1554
Carson City,GOVERNOR (DEMOCRATIC),"SISOLAK, STEVE",1408
Carson City,GOVERNOR (DEMOCRATIC),NONE OF THESE CANDIDATES,156
Carson City,GOVERNOR (DEMOCRATIC),"BONAVENTURA, JOHN",67
Carson City,GOVERNOR (DEMOCRATIC),"JONES, DAVID E.",57
Carson City,GOVERNOR (DEMOCRATIC),"THORNS, HENRY",37
Carson City,GOVERNOR (DEMOCRATIC),"DEWAN, ASHEESH",26
Carson City,GOVERNOR (REPUBLICAN),"LAXALT, ADAM PAUL",3599
Carson City,GOVERNOR (REPUBLICAN),"SCHWARTZ, DAN",557
Carson City,GOVERNOR (REPUBLICAN),"CARLISLE, STEPHANIE",258
Carson City,GOVERNOR (REPUBLICAN),"FISHER, JARED L.",236
Carson City,GOVERNOR (REPUBLICAN),NONE OF THESE CANDIDATES,129
Carson City,GOVERNOR (REPUBLICAN),"BOYD, WILLIAM ""BILL""",82
Carson City,GOVERNOR (REPUBLICAN),"CONQUEST, FREDERICK L.",15
Carson City,GOVERNOR (REPUBLICAN),"DUNDAS, EDWARD F.",13
Carson City,GOVERNOR (REPUBLICAN),"LUSAK, STAN",13
Carson City,LIEUTENANT GOVERNOR (DEMOCRATIC),"MARSHALL, KATE",2673
Carson City,LIEUTENANT GOVERNOR (DEMOCRATIC),"HANSEN, LAURIE L.",376
Carson City,LIEUTENANT GOVERNOR (DEMOCRATIC),NONE OF THESE CANDIDATES,221
Carson City,LIEUTENANT GOVERNOR (REPUBLICAN),"ROBERSON, MICHAEL",2360
Carson City,LIEUTENANT GOVERNOR (REPUBLICAN),"JONES, BRENT A.",875
Carson City,LIEUTENANT GOVERNOR (REPUBLICAN),"HOOVER, EUGENE",682
Carson City,LIEUTENANT GOVERNOR (REPUBLICAN),NONE OF THESE CANDIDATES,514
Carson City,LIEUTENANT GOVERNOR (REPUBLICAN),"MEYERS, GARY ANTHONY",278
Carson City,LIEUTENANT GOVERNOR (REPUBLICAN),"LAFATA, SCOTT ANTHONY",142
Carson City,SECRETARY OF STATE (REPUBLICAN),"CEGAVSKE, BARBARA K. (INCUMBENT)",3371
Carson City,SECRETARY OF STATE (REPUBLICAN),"ALDRIDGE, ERNEST C.",1062
Carson City,SECRETARY OF STATE (REPUBLICAN),NONE OF THESE CANDIDATES,388
Carson City,STATE TREASURER (REPUBLICAN),"BEERS, BOB",3362
Carson City,STATE TREASURER (REPUBLICAN),"UEHARA, DEREK",999
Carson City,STATE TREASURER (REPUBLICAN),NONE OF THESE CANDIDATES,452
Carson City,ATTORNEY GENERAL (DEMOCRATIC),"FORD, AARON",2466
Carson City,ATTORNEY GENERAL (DEMOCRATIC),"MACKIE, STUART J.",465
Carson City,ATTORNEY GENERAL (DEMOCRATIC),NONE OF THESE CANDIDATES,315
Carson City,ATTORNEY GENERAL (REPUBLICAN),"DUNCAN, WES",3018
Carson City,ATTORNEY GENERAL (REPUBLICAN),"MUELLER, CRAIG",1473
Carson City,ATTORNEY GENERAL (REPUBLICAN),NONE OF THESE CANDIDATES,359
Carson City,"STATE SENATE, DISTRICT 16 (REPUBLICAN)","KIECKHEFER, BEN (INCUMBENT)",2606
Carson City,"STATE SENATE, DISTRICT 16 (REPUBLICAN)","SCHMIDT, GARY R.",2145
Carson City,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","CADISH, ELISSA",2717
Carson City,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","ABERASTURI, LEON",2143
