county name,race name,candidate,party,early votes,election day votes,absentee votes,total votes
Allegany,"Governor / Lt. Governor

Republican Candidates ",Larry Hogan and Boyd K. Rutherford,Republican,664,,0,"6,522"
Allegany,Democratic Candidates ,"Rushern L. Baker, III and Elizabeth Embry",Democratic,64,,0,388
Allegany,Democratic Candidates ,Ralph Jaffe and Freda Jaffe,Democratic,10,,0,116
Allegany,Democratic Candidates ,Ben Jealous and Susan Turnbull,Democratic,147,,0,"1,126"
Allegany,Democratic Candidates ,"James Hugh Jones, II and Charles S. Waters",Democratic,3,,0,102
Allegany,Democratic Candidates ,Valerie Ervin and Marisol Johnson *,Democratic,28,,0,146
Allegany,Democratic Candidates ,Rich Madaleno and Luwanda Jenkins,Democratic,20,,0,153
Allegany,Democratic Candidates ,Alec Ross and Julie C. Verratti,Democratic,33,,0,208
Allegany,Democratic Candidates ,Jim Shea and Brandon M. Scott,Democratic,32,,0,271
Allegany,Democratic Candidates ,Krish O'Mara Vignarajah and Sharon Y. Blake,Democratic,85,,0,449
Allegany,"Comptroller

Republican Candidates ",Anjali Reed Phukan,Republican,459,,0,"4,659"
Allegany,Democratic Candidates ,Peter Franchot,Democratic,409,,0,"2,927"
Allegany,"Attorney General

Republican Candidates ",Craig Wolf,Republican,533,,0,"5,146"
Allegany,Democratic Candidates ,Brian E. Frosh,Democratic,385,,0,"2,720"
Allegany,"U.S. Senator

Republican Candidates ",Tony Campbell,Republican,100,,0,"1,033"
Allegany,"U.S. Senator

Republican Candidates ",Chris Chaffee,Republican,175,,0,"1,182"
Allegany,"U.S. Senator

Republican Candidates ",Evan M. Cronhardt,Republican,7,,0,91
Allegany,"U.S. Senator

Republican Candidates ",Nnabu Eze,Republican,6,,0,56
Allegany,"U.S. Senator

Republican Candidates ",John R. Graziani,Republican,43,,0,376
Allegany,"U.S. Senator

Republican Candidates ",Christina J. Grigorian,Republican,58,,0,921
Allegany,"U.S. Senator

Republican Candidates ",Albert Binyahmin Howard,Republican,0,,0,69
Allegany,"U.S. Senator

Republican Candidates ",Bill Krehnbrink,Republican,14,,0,82
Allegany,"U.S. Senator

Republican Candidates ","Gerald I. Smith, Jr.",Republican,38,,0,428
Allegany,"U.S. Senator

Republican Candidates ",Blaine Taylor,Republican,53,,0,460
Allegany,"U.S. Senator

Republican Candidates ",Brian Charles Vaeth,Republican,7,,0,61
Allegany,Democratic Candidates ,Ben Cardin,Democratic,413,,0,"2,675"
Allegany,Democratic Candidates ,Erik Jetmir,Democratic,4,,0,38
Allegany,Democratic Candidates ,Chelsea Manning,Democratic,26,,0,300
Allegany,Democratic Candidates ,Marcia H. Morgan,Democratic,8,,0,121
Allegany,Democratic Candidates ,"Jerome ""Jerry"" Segal",Democratic,6,,0,88
Allegany,Democratic Candidates ,"Richard ""Rikki"" Vaughn",Democratic,7,,0,52
Allegany,Democratic Candidates ,"Debbie ""Rica"" Wilson",Democratic,15,,0,120
Allegany,Democratic Candidates ,Lih Young,Democratic,7,,0,73
Allegany,"Representative in Congress

District 6
Republican Candidates ",Kurt Elsasser,Republican,36,,0,446
Allegany,"Representative in Congress

District 6
Republican Candidates ",Amie Hoeber,Republican,502,,0,"4,487"
Allegany,"Representative in Congress

District 6
Republican Candidates ",Lisa Lloyd,Republican,80,,0,797
Allegany,"Representative in Congress

District 6
Republican Candidates ",Bradley St. Rohrs,Republican,21,,0,230
Allegany,Democratic Candidates ,Andrew Duck,Democratic,44,,0,336
Allegany,Democratic Candidates ,George English,Democratic,4,,0,45
Allegany,Democratic Candidates ,Chris Graves,Democratic,7,,0,72
Allegany,Democratic Candidates ,Nadia Hashimi,Democratic,18,,0,199
Allegany,Democratic Candidates ,Christopher Hearsey,Democratic,0,,0,37
Allegany,Democratic Candidates ,Roger Manno,Democratic,57,,0,401
Allegany,Democratic Candidates ,Aruna Miller,Democratic,73,,0,398
Allegany,Democratic Candidates ,David Trone,Democratic,282,,0,"1,977"
Allegany,"State Senator

District 1
Republican Candidates ",George C. Edwards,Republican,600,,0,"5,880"
Allegany,"House of Delegates

District 1A
Republican Candidates ",Wendell R. Beitzel,Republican,61,,0,"1,008"
Allegany,"House of Delegates

District 1A
Republican Candidates ","James M. Virts, Jr.",Republican,6,,0,146
Allegany,Democratic Candidates ,Michael Dreisbach,Democratic,24,,0,272
Allegany,"District 1B
Republican Candidates ",Jason C. Buckel,Republican,270,,0,"3,086"
Allegany,Democratic Candidates ,Penny Lyn Walker,Democratic,194,,0,"1,508"
Allegany,"District 1C
Republican Candidates ",Nicole Alt-Myers,Republican,86,,0,709
Allegany,"District 1C
Republican Candidates ",Jordan Lysczek,Republican,24,,0,133
Allegany,"District 1C
Republican Candidates ",Mike McKay,Republican,186,,0,"1,107"
Anne Arundel,"Governor / Lt. Governor

Republican Candidates ",Larry Hogan and Boyd K. Rutherford,Republican,"7,437",,0,"26,438"
