county,race,party,candidate,votes
Adair,U.S. Senator,Republican,Tony Monetti,190
Adair,U.S. Senator,Republican,Austin Petersen,191
Adair,U.S. Senator,Republican,Josh Hawley,"1,642"
Adair,U.S. Senator,Republican,Fred Ryman,69
Adair,U.S. Senator,Republican,Christina Smith,205
Adair,U.S. Senator,Republican,Kristi Nichols,324
Adair,U.S. Senator,Republican,Bradley Krembs,27
Adair,U.S. Senator,Republican,Ken Patterson,92
Adair,U.S. Senator,Republican,Brian G. Hagg,43
Adair,U.S. Senator,Republican,Courtland Sykes,58
Adair,U.S. Senator,Republican,Peter Pfeifer,83
Adair,U.S. Senator,Democratic,Carla (Coffee) Wright,36
Adair,U.S. Senator,Democratic,Angelica Earl,33
Adair,U.S. Senator,Democratic,Leonard Joseph Steinman II,11
Adair,U.S. Senator,Democratic,John Hogan,22
Adair,U.S. Senator,Democratic,Travis Gonzalez,16
Adair,U.S. Senator,Democratic,David Faust,22
Adair,U.S. Senator,Democratic,Claire McCaskill,966
Adair,U.S. Senator,Libertarian,Japheth Campbell,12
Adair,U.S. Senator,Green,Jo Crain,5
Adair,U.S. Senator,Green,Jerome Bauer,1
Adair,State Auditor,Republican,Kevin M. Roach,525
Adair,State Auditor,Republican,David Wasinger,490
Adair,State Auditor,Republican,Paul Curtman,387
Adair,State Auditor,Republican,Saundra McDowell,"1,103"
Adair,State Auditor,Democratic,Nicole Galloway,938
Adair,State Auditor,Libertarian,Sean O'Toole,12
Adair,State Auditor,Green,Don Fitz,6
Adair,State Auditor,Constitution,Jacob Luetkemeyer,0
Adair,U.S. Representative - District 6,Republican,Sam Graves,"2,714"
Adair,U.S. Representative - District 6,Democratic,Winston Apple,389
Adair,U.S. Representative - District 6,Democratic,Henry Robert Martin,372
Adair,U.S. Representative - District 6,Democratic,Ed Andres,152
Adair,U.S. Representative - District 6,Libertarian,Dan Hogan,12
Adair,State Senator - District 18,Republican,Lindell F Shumake,121
Adair,State Senator - District 18,Republican,Craig Redmon,543
Adair,State Senator - District 18,Republican,Cindy O'Laughlin,"1,072"
Adair,State Senator - District 18,Republican,Nate Walker,"1,659"
Adair,State Senator - District 18,Democratic,Crystal Stephens,925
Adair,State Representative - District 3,Republican,Danny Busick,"1,702"
Adair,State Representative - District 3,Democratic,Joni Perry,820
Adair,State Representative - District 4,Republican,Greg Sharpe,645
Adair,Circuit Judge - Circuit 2,Democratic,Russell Steele,896
Andrew,U.S. Senator,Republican,Tony Monetti,277
Andrew,U.S. Senator,Republican,Austin Petersen,229
Andrew,U.S. Senator,Republican,Josh Hawley,"1,781"
Andrew,U.S. Senator,Republican,Fred Ryman,39
Andrew,U.S. Senator,Republican,Christina Smith,203
Andrew,U.S. Senator,Republican,Kristi Nichols,274
Andrew,U.S. Senator,Republican,Bradley Krembs,29
Andrew,U.S. Senator,Republican,Ken Patterson,119
Andrew,U.S. Senator,Republican,Brian G. Hagg,74
Andrew,U.S. Senator,Republican,Courtland Sykes,37
Andrew,U.S. Senator,Republican,Peter Pfeifer,88
Andrew,U.S. Senator,Democratic,Carla (Coffee) Wright,57
Andrew,U.S. Senator,Democratic,Angelica Earl,27
Andrew,U.S. Senator,Democratic,Leonard Joseph Steinman II,18
Andrew,U.S. Senator,Democratic,John Hogan,61
Andrew,U.S. Senator,Democratic,Travis Gonzalez,17
Andrew,U.S. Senator,Democratic,David Faust,35
Andrew,U.S. Senator,Democratic,Claire McCaskill,855
Andrew,U.S. Senator,Libertarian,Japheth Campbell,7
Andrew,U.S. Senator,Green,Jo Crain,2
Andrew,U.S. Senator,Green,Jerome Bauer,4
Andrew,State Auditor,Republican,Kevin M. Roach,861
Andrew,State Auditor,Republican,David Wasinger,462
Andrew,State Auditor,Republican,Paul Curtman,294
Andrew,State Auditor,Republican,Saundra McDowell,"1,178"
Andrew,State Auditor,Democratic,Nicole Galloway,914
Andrew,State Auditor,Libertarian,Sean O'Toole,6
Andrew,State Auditor,Green,Don Fitz,7
Andrew,State Auditor,Constitution,Jacob Luetkemeyer,6
Andrew,U.S. Representative - District 6,Republican,Sam Graves,"2,998"
Andrew,U.S. Representative - District 6,Democratic,Winston Apple,240
Andrew,U.S. Representative - District 6,Democratic,Henry Robert Martin,306
Andrew,U.S. Representative - District 6,Democratic,Ed Andres,464
Andrew,U.S. Representative - District 6,Libertarian,Dan Hogan,7
Andrew,State Senator - District 12,Republican,Dan Hegeman,"3,045"
Andrew,State Senator - District 12,Democratic,Terry Richard,925
Andrew,State Representative - District 9,Republican,Sheila Solon,"1,155"
Andrew,State Representative - District 9,Republican,Tina Goodrick,238
Andrew,State Representative - District 9,Republican,Christopher Evans,556
Andrew,State Representative - District 9,Republican,Mik Chester,"1,401"
Andrew,State Representative - District 9,Democratic,Bob Bergland,932
Andrew,Circuit Judge - Circuit 5 Division 1,Republican,Melissa Morgan Lawyer,"1,541"
Andrew,Circuit Judge - Circuit 5 Division 1,Republican,Kate Schaefer,"1,748"
Andrew,Circuit Judge - Circuit 5 Division 1,Democratic,Arthur David Peppard,932
Andrew,Circuit Judge - Circuit 5 Division 3,Democratic,Patrick K. Robb,972
Andrew,Circuit Judge - Circuit 5 Division 4,Democratic,Daniel F. Kellogg,983
