"Precinct_Name","Split_Name","precinct_splitId","Reg_voters","Ballots","Reporting","Contest_id","Contest_title","Contest_party","Choice_id","Candidate_name","Choice_party","Candidate_Type","Absentee_votes","Early_votes","Election_Votes"
"01-01","","1","2863","1067","1","2","U.S. Senator - D","","7","HIRONO, Mazie K.","","C","483","67","265"
"01-01","","1","2863","1067","1","3","U.S. Senator - N","","8","REYES, Arturo Pacheco","","C","1","0","0"
"01-01","","1","2863","1067","1","3","U.S. Senator - N","","9","HAVERTY, Charles (Charlie)","","C","2","0","2"
"01-01","","1","2863","1067","1","3","U.S. Senator - N","","10","MAERTENS, Matthew K.","","C","1","0","1"
"01-01","","1","2863","1067","1","4","U.S. Senator - R","","11","ANDERSON, Consuelo","","C","10","3","7"
"01-01","","1","2863","1067","1","4","U.S. Senator - R","","12","HELSHAM, Robert C., Sr.","","C","0","2","0"
"01-01","","1","2863","1067","1","4","U.S. Senator - R","","13","WHITE, Thomas E.","","C","9","0","3"
"01-01","","1","2863","1067","1","4","U.S. Senator - R","","14","DE LA FUENTE, Rocky Mamaka","","C","4","0","4"
"01-01","","1","2863","1067","1","4","U.S. Senator - R","","15","CURTIS, Ron","","C","7","0","9"
"01-01","","1","2863","1067","1","4","U.S. Senator - R","","16","HODGKISS, Michael R.","","C","2","1","1"
"01-01","","1","2863","1067","1","4","U.S. Senator - R","","17","BERISH, George L.","","C","2","1","0"
"01-01","","1","2863","1067","1","4","U.S. Senator - R","","18","PIRKOWSKI, Eddie","","C","2","0","0"
"01-01","","1","2863","1067","1","10","U.S. Representative, Dist II - D","","32","AUSTIN, Anthony Tony","","C","5","3","8"
"01-01","","1","2863","1067","1","10","U.S. Representative, Dist II - D","","33","GABBARD, Tulsi","","C","462","61","275"
"01-01","","1","2863","1067","1","10","U.S. Representative, Dist II - D","","34","ALU CAMPAGNA, Sherry","","C","35","9","27"
"01-01","","1","2863","1067","1","11","U.S. Representative, Dist II - R","","35","EVANS, Brian","","C","30","7","17"
"01-01","","1","2863","1067","1","12","Governor - G","","36","BREWER, Jim","","C","0","0","2"
"01-01","","1","2863","1067","1","13","Governor - D","","37","CARAVALHO, Ernest","","C","30","0","11"
"01-01","","1","2863","1067","1","13","Governor - D","","38","KA'EHU'AE'A, Wendell J.","","C","2","3","4"
"01-01","","1","2863","1067","1","13","Governor - D","","39","TANABE, Van (Tanaban)","","C","1","0","0"
"01-01","","1","2863","1067","1","13","Governor - D","","40","IGE, David Y.","","C","215","48","172"
"01-01","","1","2863","1067","1","13","Governor - D","","41","HANABUSA, Colleen Wakako","","C","296","25","134"
